x,y,z
-0.080401,0.015848,0.052857
-0.080093,0.0068873,0.05685
-0.080343,0.012273,0.053598
-0.080165,0.011741,0.056205
-0.080486,0.015717,0.046384
-0.079702,0.013728,0.039264
-0.078913,0.0027797,0.056078
-0.080652,0.0068596,0.051748
-0.079129,0.015424,0.057128
-0.080213,0.013566,0.043673
-0.078216,0.020643,0.056447
-0.078837,0.0074607,0.061587
-0.07811,0.015736,0.061481
-0.079652,0.019224,0.043048
-0.07924,0.0028578,0.051613
-0.078855,0.014797,0.03684
-0.079248,0.018503,0.045969
-0.077926,0.016764,0.058251
-0.076862,0.024943,0.052855
-0.079522,0.0051533,0.045355
-0.079017,0.012626,0.06068
-0.077318,0.019628,0.058531
-0.077842,0.0094884,0.063595
-0.077266,0.0010105,0.05016
-0.077994,0.0020086,0.057959
-0.078447,0.010171,0.036991
-0.078642,0.02329,0.045359
-0.076429,0.018045,0.059034
-0.076669,0.011668,0.066857
-0.078707,0.0219,0.048647
-0.077246,0.018894,0.034149
-0.075755,0.025154,0.056069
-0.076553,0.0084465,0.064676
-0.075178,0.024049,0.061818
-0.075726,0.028653,0.049598
-0.076945,0.011895,0.033407
-0.077281,0.0040423,0.044028
-0.075756,0.0028326,0.064915
-0.074562,0.0053643,0.068218
-0.074753,0.016728,0.057454
-0.074387,0.0079523,0.071368
-0.076997,0.025948,0.041607
-0.075324,0.025191,0.036636
-0.076143,0.019583,0.062723
-0.074687,0.0083798,0.032979
-0.074351,0.025883,0.059708
-0.075359,0.0079522,0.06493
-0.075407,0.02865,0.044144
-0.07262,0.019548,0.071534
-0.072838,0.004366,0.071551
-0.074324,0.029088,0.0553
-0.072864,-0.00045507,0.047418
-0.07768,0.0068662,0.038141
-0.076875,0.00070613,0.05506
-0.078001,0.022116,0.038309
-0.073843,0.031814,0.050255
-0.075378,0.018147,0.031019
-0.072789,0.0074926,0.06636
-0.073057,0.02632,0.059069
-0.075065,0.025966,0.056379
-0.071592,0.015738,0.075904
-0.074107,0.020852,0.065859
-0.073717,0.030336,0.039464
-0.074848,0.016443,0.069313
-0.075226,0.0048077,0.042712
-0.074622,0.005322,0.034454
-0.071234,0.027841,0.06726
-0.074492,0.027704,0.040337
-0.074192,0.0047509,0.045885
-0.075142,0.025653,0.037946
-0.073996,0.026844,0.056822
-0.073778,0.026337,0.039777
-0.07304,0.024355,0.055856
-0.074162,0.0030728,0.067477
-0.073397,0.024099,0.065787
-0.074343,0.0056621,0.043738
-0.07258,0.02737,0.06081
-0.073362,0.0089888,0.045803
-0.077466,0.0023944,0.046498
-0.074166,0.028771,0.036918
-0.073757,-0.00010093,0.060156
-0.071479,0.012729,0.07697
-0.069584,0.002482,0.068137
-0.068349,0.0066435,0.08073
-0.072066,0.0081294,0.063817
-0.073948,0.025026,0.03225
-0.073011,0.033174,0.042971
-0.072321,0.0035553,0.044948
-0.07024,0.0030325,0.068191
-0.071757,0.034989,0.046859
-0.072183,0.027039,0.059786
-0.072349,0.02517,0.030095
-0.072701,0.0074309,0.066569
-0.071771,0.0092258,0.035255
-0.074971,0.0073188,0.034529
-0.07108,0.032336,0.034072
-0.072128,0.01988,0.028582
-0.069699,0.02562,0.072377
-0.070959,0.029342,0.056677
-0.06974,0.0087245,0.064015
-0.074278,0.0051458,0.068605
-0.071464,0.009122,0.049143
-0.073414,0.0015902,0.039757
-0.070376,0.030762,0.055849
-0.073472,0.0033569,0.034725
-0.070143,0.021348,0.05236
-0.07196,0.011019,0.030207
-0.07034,-0.0013903,0.048404
-0.069896,0.021713,0.057117
-0.073315,0.0014964,0.066233
-0.073079,0.013866,0.029353
-0.070991,0.010643,0.047838
-0.069885,-0.0017587,0.054964
-0.071388,0.032896,0.054468
-0.071858,0.010527,0.046152
-0.069428,0.012062,0.079237
-0.071724,0.0064925,0.031352
-0.072683,0.0085433,0.031776
-0.071208,0.031604,0.060346
-0.069246,0.0082024,0.078717
-0.070136,0.0091052,0.037445
-0.071671,0.0068384,0.048079
-0.072278,0.0090499,0.044915
-0.068192,0.036046,0.056823
-0.070337,0.0088792,0.064349
-0.069548,0.015889,0.078436
-0.072136,0.025884,0.056537
-0.069007,0.032498,0.06518
-0.069209,0.021985,0.052032
-0.072536,0.00097687,0.041791
-0.069648,0.0015589,0.069183
-0.069802,0.0064142,0.047108
-0.072336,0.0021738,0.044619
-0.071729,0.0045341,0.045413
-0.069214,0.023665,0.028186
-0.071168,0.034078,0.039411
-0.069788,0.03646,0.042166
-0.068439,0.019801,0.076243
-0.069388,-0.00017025,0.065796
-0.068335,0.025552,0.073379
-0.067124,0.020246,0.055111
-0.070205,0.0059988,0.046849
-0.070371,0.035176,0.050824
-0.06812,0.020376,0.056476
-0.068982,0.0090396,0.047745
-0.069097,0.0089066,0.037127
-0.06929,0.032167,0.054667
-0.068391,0.021167,0.052474
-0.069796,0.0018672,0.069535
-0.066786,0.0048232,0.065503
-0.068118,0.01544,0.078914
-0.069609,0.010415,0.032847
-0.071304,0.00093655,0.044645
-0.066635,0.020499,0.074781
-0.067797,0.022328,0.074227
-0.068704,0.035769,0.049484
-0.069865,0.025003,0.054746
-0.067295,0.0033922,0.047466
-0.068698,0.03267,0.031509
-0.067563,0.0065498,0.064996
-0.067409,0.033168,0.065509
-0.064747,0.0087658,0.082118
-0.068181,0.036087,0.060821
-0.068836,0.011803,0.030441
